"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2022","48.82","51.65","56.28","46.30","890.67M","-5.20%"
"12/01/2021","51.50","49.84","55.00","48.33","714.79M","4.67%"
"11/01/2021","49.20","49.40","51.99","48.12","617.09M","0.41%"
"10/01/2021","49.00","53.65","56.07","47.87","672.04M","-8.03%"
"09/01/2021","53.28","54.11","55.49","52.32","413.37M","-1.44%"
"08/01/2021","54.06","53.99","54.87","51.42","402.38M","0.63%"
"07/01/2021","53.72","56.13","57.46","52.31","516.96M","-4.31%"
"06/01/2021","56.14","57.61","58.42","55.10","511.87M","-1.72%"
"05/01/2021","57.12","57.85","58.01","53.42","495.39M","-0.71%"
"04/01/2021","57.53","64.72","68.49","57.07","654.98M","-10.11%"
"03/01/2021","64.00","61.72","67.44","57.90","770.83M","5.30%"
"02/01/2021","60.78","55.95","63.54","55.71","511.35M","9.49%"
"01/01/2021","55.51","49.89","63.95","49.33","963.20M","11.42%"
"12/01/2020","49.82","48.75","52.65","45.24","883.85M","3.04%"
"11/01/2020","48.35","44.96","48.50","44.24","676.18M","9.19%"
"10/01/2020","44.28","52.40","56.23","43.61","738.47M","-14.48%"
"09/01/2020","51.78","50.91","52.68","48.42","680.63M","1.63%"
"08/01/2020","50.95","48.27","51.50","47.70","667.08M","6.75%"
"07/01/2020","47.73","59.91","61.93","46.97","808.71M","-20.22%"
"06/01/2020","59.83","62.49","65.11","56.76","570.57M","-4.93%"
"05/01/2020","62.93","58.83","64.14","56.10","409.29M","4.92%"
"04/01/2020","59.98","52.50","62.13","51.22","617.70M","10.83%"
"03/01/2020","54.12","55.79","59.02","43.63","961.07M","-2.52%"
"02/01/2020","55.52","64.46","68.09","53.60","441.56M","-13.16%"
"01/01/2020","63.93","60.24","69.29","58.52","533.98M","6.82%"
"12/01/2019","59.85","58.55","60.48","55.75","420.76M","3.10%"
"11/01/2019","58.05","55.94","59.13","55.62","319.93M","2.69%"
"10/01/2019","56.53","51.97","57.24","48.53","448.76M","9.70%"
"09/01/2019","51.53","47.12","53.33","46.49","394.45M","8.69%"
"08/01/2019","47.41","50.52","51.89","44.80","532.54M","-6.21%"
"07/01/2019","50.55","49.29","53.50","47.07","431.13M","5.60%"
"06/01/2019","47.87","44.25","48.48","43.20","416.05M","8.70%"
"05/01/2019","44.04","51.10","51.82","42.86","637.86M","-13.71%"
"04/01/2019","51.04","54.34","59.59","50.87","472.43M","-4.95%"
"03/01/2019","53.70","53.44","54.99","51.70","435.00M","1.40%"
"02/01/2019","52.96","47.06","53.61","47.01","410.24M","12.39%"
"01/01/2019","47.12","45.96","50.03","44.39","620.39M","0.40%"
"12/01/2018","46.93","50.00","50.49","43.51","565.24M","-4.83%"
"11/01/2018","49.31","46.95","49.32","46.52","552.79M","5.18%"
"10/01/2018","46.88","46.79","49.72","42.36","782.23M","-0.87%"
"09/01/2018","47.29","48.38","48.43","44.06","462.76M","-2.35%"
"08/01/2018","48.43","48.06","50.60","46.19","516.98M","0.69%"
